,y_test,prediction
6853,3098.6332,1950.5801
8046,392.822,2927.8157
1029,1198.44,1180.4148
7766,1707.777,1808.839
6670,264.9884,559.725
8148,3142.576,2952.5042
7355,80.5618,196.42554
4900,3439.5228,2668.6975
6428,1808.9786,2668.6975
5498,309.597,1404.4
7533,2572.6512,3111.805
7994,3593.3226,2769.565
3910,1621.8888,3060.8386
2568,659.142,643.406
2644,884.1824,896.70886
733,1807.647,1790.4738
4105,5522.811,6044.0933
5694,1435.4648,1953.5247
6512,2841.6344,2011.7684
6590,3691.1952,2281.977
5558,6624.71,4263.242
1750,5956.9126,4007.3083
836,145.8102,123.9126
2528,6503.5344,3356.1855
4831,858.882,2059.8242
5006,1701.7848,2112.1438
7489,614.5334,732.54846
2866,250.3408,240.46376
7154,3835.008,3486.5547
683,1488.063,1543.6823
499,1298.31,2061.2795
388,717.7324,1610.5348
6101,2999.429,2071.2305
3311,1346.2476,3635.1235
6380,3755.112,3050.9023
8404,153.134,211.83412
119,1141.847,3374.675
158,1701.7848,2261.4438
6968,755.0172,1256.1235
3986,4250.4672,1746.3735
5962,1641.197,1562.9595
6693,1957.452,2001.5804
1044,6048.793,3827.6172
3964,2077.296,1904.5061
6059,3704.5112,3096.68
4301,3295.71,1562.9595
7733,467.3916,456.46506
7868,2542.0244,1633.8789
6837,4165.2448,3593.6035
3975,892.8378,1543.6823
6099,567.2616,249.18384
7276,1537.998,1603.0289
1422,852.224,1256.1235
4561,2183.824,1590.3501
6183,3509.4318,2642.737
1644,153.7998,373.29288
2480,782.9808,583.38525
2877,3165.879,4282.691
2491,109.1912,301.22992
1831,1733.7432,2203.2002
6464,2195.8084,1953.5247
6141,4460.86,2864.355
7016,8062.838,6375.637
1240,3415.554,2999.927
2542,1211.756,1287.3696
4225,233.03,215.85947
6372,2846.295,2469.645
4220,1571.288,2366.037
4418,2530.7058,1848.7175
7542,785.644,1256.1235
7198,3981.484,2389.1333
2041,633.8416,670.2301
2223,188.4214,589.42004
3852,1073.2696,1256.1235
1142,3747.1224,4782.628
5139,988.0472,935.6383
7833,4482.1656,3076.3645
6673,1006.6896,4192.6655
532,95.8752,190.9886
3222,852.224,1256.1235
3581,1006.6896,1859.2622
6043,677.1186,3322.3555
7004,870.8664,2454.1196
4013,4857.6768,3586.7783
422,3415.554,4059.0432
7899,377.5086,826.86725
1373,5426.27,3643.4558
22,1587.2672,3050.9023
495,2336.958,2849.2666
4781,2784.3756,2237.3262
4270,2360.9268,2154.6326
7680,419.454,1287.3696
1718,563.9326,786.7241
1683,990.7104,2631.0203
6415,126.502,136.38533
6079,341.5554,689.5074
3744,4334.358,2240.222
2388,1004.0264,3180.1948
6024,171.1106,346.64264
6619,2316.984,2734.3765
8487,4111.315,4130.6973
144,905.488,896.70886
3972,1895.5326,2268.0251
574,37.9506,83.135345
4018,3392.9168,2033.7504
6526,2145.2076,6044.0933
4873,4302.3996,6212.916
5968,4996.829,4225.4
3706,4452.8704,5461.831
3648,3257.7594,2360.7117
3239,3693.8584,3050.9023
1066,2633.9048,1867.9948
167,1743.0644,1702.6592
5318,540.6296,643.406
1869,1518.024,1756.0809
1666,512.666,596.7815
8265,4026.7584,2408.4106
526,283.6308,1924.6559
2931,196.411,417.75992
1112,1544.656,2256.8892
8004,2446.1492,3666.6743
4872,2940.1728,3129.4202
6711,3563.3616,2320.3447
2632,1629.8784,1652.3461
987,5061.4116,3577.1833
6561,1030.6584,2868.544
1122,1125.202,1369.408
989,5518.1504,4275.4897
776,857.5504,1702.0077
274,2082.6224,1405.3335
7376,2399.5432,2180.9324
8368,1800.3232,1920.4966
33,2174.5028,1354.9103
5379,926.7936,789.0011
5253,5645.984,2487.2043
1478,4211.185,4294.5283
6376,2651.2156,1912.5088
2328,1120.5414,1196.8665
8327,3012.0792,1631.216
8101,2189.1504,3177.0234
8192,2908.2144,1721.9425
3664,1318.284,1341.2477
3849,1525.3478,869.541
2270,695.0952,1804.6172
6757,2807.0128,2668.6975
1656,3455.502,1998.0176
4364,1411.496,2788.0322
152,2768.3964,2734.3765
4902,2290.352,2053.9001
8193,2656.542,2003.0359
7588,1845.5976,1682.7305
7484,671.1264,3888.3562
487,75.2354,153.3758
5476,193.7478,233.37335
2420,998.7,3770.7507
2894,1384.1982,3047.7893
3583,5660.6316,2889.8604
1070,952.7598,643.406
134,952.094,2658.5269
7575,641.8312,3762.4336
1454,107.8596,172.52507
5871,129.831,248.56442
5864,1201.769,1056.5383
4512,383.5008,890.1236
3053,34.6216,91.481224
7286,1102.5648,810.46875
5397,61.9194,200.87035
6970,1416.8224,1201.5194
2560,1609.9044,1948.391
2026,3425.541,3749.871
6578,1418.154,1562.9595
3069,1736.4064,3643.4558
318,3877.6192,2464.3196
4189,3238.4512,2847.681
5306,1054.6272,1326.75
3391,2376.906,1866.4121
1121,593.2278,1112.8334
6576,1034.6532,474.9402
2899,2709.1402,3558.4158
7082,2801.6864,2868.544
5268,1323.6104,2978.538
4323,978.726,760.70874
6096,1747.725,1867.9948
1643,1198.44,2401.8
6614,406.138,689.5074
2134,490.0288,1963.1106
1382,639.168,636.7202
5061,402.809,1256.1235
6124,1062.6168,1374.1875
5455,982.7208,497.41904
4425,998.7,1440.8416
4355,4327.7,3643.4558
509,95.8752,254.797
3671,2036.6822,1590.3501
6900,4314.384,2996.3762
3286,8138.7392,6044.0933
7951,4218.5088,3827.6172
7245,517.3266,445.60214
2453,1325.6078,1660.9801
6906,6454.931,5219.1675
971,615.1992,789.5861
313,1677.816,1727.029
7871,1677.816,1248.8635
3202,539.298,842.5978
5759,784.9782,572.17017
5583,3520.0846,3465.687
4858,1607.2412,1405.3335
7248,1289.6546,1460.1188
7802,1444.1202,2414.1436
8220,2621.9204,2003.0359
558,2876.256,3050.9023
4904,4673.916,2393.1594
276,7452.9652,3839.5574
1540,716.4008,278.91162
7511,3111.9492,2646.0425
3474,755.0172,268.6636
4139,394.1536,622.79694
1984,4086.0146,3978.5266
2285,3202.498,1953.5247
2615,7201.2928,5986.4727
3891,1358.232,1682.5691
7784,2681.8424,2203.2002
6444,3844.995,3360.9724
6308,691.1004,566.4709
1942,3105.957,3914.3613
2569,4402.2696,2320.3447
1977,2713.135,2390.925
1220,2884.2456,2339.622
5601,3113.2808,3666.175
8499,2976.126,1460.1188
3182,1142.5128,1326.75
2381,4374.306,3913.308
2585,4225.1668,2622.3271
6390,4434.228,3353.804
4887,1749.7224,2097.0176
8066,4171.9028,2632.378
286,296.9468,302.49753
994,2982.784,2320.3447
2586,139.818,108.28515
4753,3793.7284,2922.8271
1952,554.6114,1287.3696
7984,1245.046,1703.5773
7356,974.0654,1468.6631
5904,517.9924,4007.3083
72,4604.6728,2960.8826
519,5344.3766,6375.637
5081,1342.2528,1515.522
4978,1784.344,2870.4402
7150,4407.596,3511.0227
548,2094.6068,1493.259
2888,2167.179,1702.0077
7428,1845.5976,1558.9287
1892,1583.9382,1992.4912
8007,262.3252,776.172
6702,1179.1318,727.19885
5356,1158.492,2896.997
1955,1514.695,1682.5691
5362,1006.6896,1721.9425
7667,2253.0672,1964.3309
2190,934.7832,653.6469
5564,751.0224,1002.3626
3711,1619.2256,1440.8416
1675,2007.387,1415.7468
6257,1342.2528,1049.5989
842,1470.0864,875.2247
247,974.7312,2729.932
8025,207.7296,163.2431
8516,858.882,789.0011
4110,2621.9204,1624.3254
3573,1518.024,2464.3196
2217,2428.8384,2408.4106
7779,1258.362,1405.3335
4339,1114.5492,1953.5247
5553,2456.802,3978.5266
6285,2902.888,2454.1196
5335,339.558,627.9348
3993,529.9768,559.725
3485,666.4658,760.70874
3996,110.5228,169.41829
2565,3844.995,3042.5537
4999,2324.9736,3351.352
6934,2616.594,4081.68
4770,253.004,301.22992
3083,7534.1928,3177.0234
725,918.804,1040.0054
2682,3531.4032,2389.1333
7922,801.6232,1649.486
1741,614.5334,779.986
6721,1573.9512,2154.6326
6897,3261.7542,2112.1438
779,597.2226,786.7241
50,3134.5864,2273.2642
4696,2534.0348,4404.1665
7639,123.173,288.3228
7978,3350.3056,2912.4702
406,5770.4886,3567.1738
4234,3379.6008,3050.9023
5514,3880.2824,1964.3309
4034,107.8596,186.39757
6652,715.0692,1831.1019
2655,2066.6432,2222.0168
2141,5294.4416,5064.903
6291,441.4254,823.5861
6519,2504.7396,2112.1438
2617,1522.0188,2531.543
6784,610.5386,1337.4968
3465,1518.024,3141.8596
156,262.3252,1872.3362
8502,3020.0688,3734.413
2795,308.9312,340.4825
6627,343.5528,324.2733
6518,2259.0594,3896.5876
578,4655.2736,3712.1306
4302,3338.987,2979.8691
8096,1163.8184,922.66223
2948,3868.9638,2384.7568
4004,4327.7,4289.4414
2872,796.9626,670.2301
2653,4195.8716,3520.905
8111,363.5268,922.66223
1308,343.5528,1848.7175
317,452.744,372.3224
5587,1231.73,786.7241
5817,596.5568,643.406
7573,3435.528,2268.0251
2958,3350.3056,3141.8596
1812,1597.92,1471.6915
7785,3146.5708,2963.4683
2531,2087.9488,2268.0251
4627,4727.18,2797.6697
7289,1651.184,1671.6233
4957,298.2784,127.175644
6418,185.0924,185.13922
188,2336.958,2788.0322
2004,4777.7808,3089.54
4235,494.0236,580.49725
5129,3427.5384,2418.3567
217,260.9936,814.608
2405,2109.2544,1848.7175
5168,282.2992,608.6575
3753,3998.7948,2950.3909
1978,447.4176,877.4315
4226,476.047,1354.9103
5992,3243.7776,3540.0852
6005,1693.7952,1939.1891
2767,185.7582,360.17056
2760,2588.6304,2025.7399
4160,1938.8096,2464.3196
4338,5704.5744,2695.4375
1334,4098.6648,1603.0289
1597,1893.5352,2502.355
7482,3467.4864,1624.3254
8335,708.4112,760.70874
1833,1985.4156,2094.5283
7970,2157.192,2315.3604
1514,3368.948,3554.037
2887,6359.7216,4278.4307
2423,1225.072,1093.8525
6035,88.5514,193.27893
7301,3728.48,3089.54
1063,568.5932,437.17957
4912,4853.682,2911.372
1172,2251.7356,1848.7175
8105,1155.8288,1306.6469
2929,4604.6728,3978.5266
7323,1188.453,3913.308
1972,1120.5414,1030.5228
1768,1398.18,1608.2458
122,186.424,147.07062
4488,1406.1696,1306.6469
1529,3749.7856,3367.8835
1621,3755.112,3089.54
7278,326.242,390.22025
4942,2221.1088,3534.1692
1928,1897.53,1958.9355
2890,2846.295,2734.3765
1087,1522.0188,3918.5745
5036,4094.67,2593.989
8437,2596.62,1490.9688
6129,1693.7952,890.4008
294,5499.508,5580.532
7132,2449.4782,3050.9023
6197,2526.711,3374.675
7870,1480.0734,2562.2317
5439,1581.9408,953.5122
8438,3034.0506,2053.9001
1642,211.7244,306.50922
1234,872.198,1350.6992
1185,822.263,371.45053
3046,295.6152,304.61917
384,3523.4136,2001.5804
3756,5552.1062,2487.2043
7476,1494.0552,1287.3696
2663,102.5332,284.12244
4982,3367.6164,3038.463
4987,455.4072,323.86862
684,5159.2842,3038.463
8022,5812.434,2795.8972
4085,2120.573,2649.4202
7110,2644.5576,3634.2935
1533,1943.4702,1354.9103
451,1816.3024,1287.3696
4237,1404.1722,1133.5369
2640,1288.9888,2463.9873
1376,1151.1682,2880.3772
1914,515.3292,179.74518
5866,6636.6944,3919.9065
2980,3101.2964,2779.8115
1490,486.034,497.41904
4629,447.4176,2097.0176
5777,335.5632,760.70874
4030,1318.284,1924.6559
1811,468.7232,863.0391
2038,1470.0864,2979.8691
6159,697.0926,533.43634
5313,750.3566,1682.7305
6134,8217.3036,6044.0933
1536,2320.9788,2631.0203
2604,3956.8494,3050.9023
5598,1882.2166,2866.9583
396,3707.1744,4222.6045
8376,3717.8272,3775.7224
6157,583.2408,1543.6823
14,1977.426,2896.997
5546,1980.755,2976.4214
1900,4566.0564,3553.4092
2475,361.5294,318.2828
7343,8209.314,5564.434
6939,886.8456,1114.2596
7658,826.2578,1248.8635
4092,647.1576,2394.5166
4857,722.393,1454.8232
5603,169.779,376.8067
4178,653.1498,3643.4558
7160,1318.284,1377.1732
8407,575.2512,2141.9658
6752,882.8508,2389.1333
4716,3182.524,2571.1436
90,369.519,199.91098
5421,2149.2024,2935.1418
5326,3950.1914,3521.6597
5632,2852.2872,2665.6072
5354,272.978,208.77621
8167,1857.582,1934.2474
3126,2090.612,2622.3271
6020,1218.414,1149.5648
3050,3761.77,2446.9902
3490,1687.1372,3687.857
6669,1670.4922,1953.5247
4948,1981.4208,3770.7507
6047,1488.063,1465.0988
15,1547.3192,877.4315
1315,1413.4934,1904.5061
8484,2324.9736,2091.9941
2693,3408.896,4294.5283
5183,2458.1336,2734.3765
6413,447.4176,1166.7264
5296,3159.8868,3540.0852
5248,3709.8376,3866.255
6271,3463.4916,2702.3845
1357,2428.8384,1562.9595
2429,2797.6916,4263.242
7349,485.3682,902.868
2364,4793.76,2632.378
4502,158.4604,311.97122
4542,3835.008,1934.2474
3493,535.969,1454.8232
5095,331.5684,287.74426
5178,1539.9954,2788.5583
794,505.3422,760.70874
6618,1677.816,2896.997
1633,3861.64,3120.0752
2804,2316.984,3193.6736
3413,1717.764,2112.1438
8184,4731.1748,3607.1897
5451,1134.5232,1543.6823
8271,2548.0166,1704.317
2613,211.7244,240.87698
4891,6608.065,4263.242
2351,1761.7068,1982.3878
7313,3068.0064,1807.2
1722,1197.7742,2825.279
6046,848.895,817.74634
2178,1607.2412,1493.259
8430,4042.7376,3022.21
7010,5591.3884,2408.4106
5900,3994.8,2469.3127
6070,1334.2632,1744.2054
2812,617.8624,1196.2887
1865,2328.9684,2622.3271
6679,4979.5182,5077.3423
2933,3119.9388,3368.8
1651,109.857,98.09779
356,3163.8816,2025.7399
7330,2285.0256,1493.259
4523,3374.2744,3246.8088
3025,284.9624,295.18036
6317,4466.1864,2693.3381
2412,4845.0266,3968.6707
4216,1747.0592,3830.2354
3243,777.6544,779.986
5134,1470.0864,1356.8911
7055,4103.9912,2167.291
6473,353.5398,670.2301
1705,6524.84,3485.0527
6727,1211.756,2022.3131
4193,2716.464,2751.9968
6951,1470.0864,806.00146
6354,307.5996,308.13812
5740,5321.0736,3141.8596
7442,343.5528,762.98566
5927,1488.063,1543.6823
5366,111.1886,284.65274
3160,2175.1686,2116.808
6551,2609.936,2367.368
42,2527.3768,3038.463
4616,3323.0078,1866.4121
3374,3739.1328,2467.868
2162,1312.9576,1356.3513
2396,3073.9986,2571.1436
3042,2137.218,3567.1738
2892,1576.6144,1543.6823
5057,114.5176,146.85274
8077,1696.4584,2203.2002
3609,209.727,720.35736
5415,3629.9416,1745.1724
369,1230.3984,1791.643
5079,669.129,786.7241
5478,3124.5994,2668.6975
2260,2070.638,3718.9197
6109,1655.1788,1494.1561
3000,2145.2076,3978.5266
6292,1457.4362,2183.9229
844,6515.5188,3731.6943
7171,3728.48,5117.3257
6759,1366.2216,1809.751
6699,753.6856,500.30484
2519,982.055,670.2301
6502,568.5932,689.5074
8388,2155.1946,2305.7476
5673,3243.7776,3946.5547
1788,145.1444,287.319
7584,4567.388,4082.951
3093,5681.2714,3913.308
4498,5229.1932,3243.6672
4059,1097.9042,1056.5383
3433,427.4436,2183.9229
633,437.4306,329.00882
4734,2302.3364,4570.5547
3488,420.7856,243.58954
629,1640.5312,1622.3062
125,868.869,1562.9595
5969,6897.688,2896.997
719,145.8102,779.986
200,745.696,1571.0729
2755,3275.736,1682.0172
8308,3193.8426,3659.5554
6162,645.826,303.99884
5193,5394.9774,3519.9875
8319,4210.5192,3712.1306
8048,1098.57,609.89624
1595,1288.9888,1287.3696
1997,306.268,1256.1235
4017,539.298,934.23486
521,314.2576,308.972
2551,1120.5414,1761.4316
1654,5522.811,3910.0505
8087,6199.9296,3715.438
5554,1347.5792,2141.7913
7618,974.7312,689.5074
7628,2163.85,3643.4558
5723,458.0704,877.4315
3564,1667.1632,3653.7012
1437,6018.1662,3910.0505
4823,2376.906,2878.7424
1733,814.9392,1621.4961
8506,3944.865,3711.6394
3790,2109.2544,2916.6746
7581,167.7816,224.72447
1284,3014.7424,3050.9023
5758,2519.3872,1762.3135
1259,169.1132,439.0954
6651,1973.4312,1736.8037
737,1470.0864,2061.2795
7467,850.8924,1924.6559
2590,842.237,456.46506
7687,2069.3064,1562.9595
1278,1917.504,2548.3796
2658,3672.5528,2126.2659
6288,958.752,1603.0289
704,2756.412,2320.3447
8262,3271.7412,1873.5422
8176,809.6128,1543.6823
3207,2606.607,1405.3335
295,925.462,1543.6823
6395,2871.5954,2389.1333
2747,261.6594,1369.0118
3896,622.523,296.33456
2921,2093.2752,2788.8423
4096,1263.0226,2849.2666
6889,952.094,1562.9595
4097,1445.4518,1791.643
572,2770.3938,2389.1333
3121,3415.554,2935.1418
4848,3146.5708,3267.9807
5422,4604.6728,2623.8853
3874,2450.144,2022.3131
6859,3163.8816,5552.9883
6174,922.7988,670.2301
837,5063.409,3060.8386
7943,934.7832,823.5861
1829,122.5072,296.33456
1255,1541.9928,3711.6394
3570,1298.31,2053.9001
224,2406.867,2692.2546
5716,2324.9736,3141.8596
7279,2501.4106,3050.9023
1845,189.0872,159.64519
8470,1551.314,2281.977
660,113.8518,662.68335
4157,2141.2128,3058.4817
713,1267.6832,2502.355
4252,774.9912,3016.476
4886,1018.674,1790.4738
2070,181.0976,1436.1835
3925,2936.178,2180.9324
8304,1917.504,2450.0354
3510,348.8792,352.3625
444,3401.5722,3351.352
7678,2876.256,1589.7787
914,2311.6576,2001.5804
3552,5195.2374,5552.9883
2407,71.9064,115.73368
3234,7503.566,3235.2783
3030,651.8182,817.74634
2359,897.4984,3256.7092
